127.0.0.1 - - [02/Aug/2024:17:13:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:28 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/main.jsp HTTP/1.1" 200 9572
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:28 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:28 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/image/1.jpg HTTP/1.1" 200 188971
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:28 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/js/jquery.js HTTP/1.1" 200 238009
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:28 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/image/%EB%8F%84%EC%84%9C%EA%B4%80%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg HTTP/1.1" 200 21905
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:35 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/user/SearchBook/searchBookByBtitle.jsp?btitle2=F HTTP/1.1" 200 13043
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:35 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:35 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:38 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/user/SearchBook/searchBookAll.jsp HTTP/1.1" 200 11278
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:38 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:40 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/user/SearchBook/searchBookByBtitle.jsp HTTP/1.1" 200 13043
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:40 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:40 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:42 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/user/SearchBook/searchBookByCategory.jsp HTTP/1.1" 200 14086
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:42 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:44 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/user/SearchBook/searchBookByCategory.jsp?bcategory=800 HTTP/1.1" 200 17226
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:13:44 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
